City_Code,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Health Indicator,Holding_Policy_Duration,Health Indicator_Missing_Flag,Holding_Policy_Duration_Missing_Flag,Holding_Policy_Type_Missing_Flag,Region_Code,Upper_Age,Lower_Age,Reco_Policy_Cat,Response,Reco_Policy_Premium_bin,Holding_Policy_Type_bin,Response_KMeans_Clusters
22,1,0,0,1,5,0,0,0,3213,36,36,22,0,3,2,4
31,0,1,0,2,15,0,1,1,1117,75,22,22,0,3,0,1
31,0,0,0,0,0,1,0,0,3732,32,32,19,1,3,1,4
16,0,1,0,1,5,0,0,0,4378,52,48,19,0,3,2,0
34,1,0,0,2,8,0,0,0,2190,44,44,16,0,3,1,2
35,1,0,0,2,10,0,0,0,1785,52,52,22,1,3,1,2
22,0,0,0,0,15,1,1,1,679,28,28,17,0,3,0,3
0,0,1,1,4,14,0,0,0,3175,75,73,17,1,3,3,4
6,0,1,0,1,6,0,0,0,3497,52,43,1,0,3,2,4
0,0,1,1,0,12,1,0,0,530,59,26,18,1,3,3,3
20,0,0,0,2,15,0,1,1,600,21,21,21,1,0,0,3
19,0,1,1,3,8,0,0,0,1097,59,47,13,0,3,2,1
33,0,0,0,0,0,1,0,0,3453,66,66,20,1,3,1,4
31,1,0,0,2,15,0,1,1,900,20,20,18,0,3,0,1
12,1,0,0,3,7,0,0,0,1911,27,27,9,0,3,2,2
22,1,0,0,3,15,0,1,1,1484,20,20,2,0,0,0,1
22,0,0,0,1,2,0,0,0,1090,34,34,20,0,3,1,1
33,0,0,0,2,15,0,1,1,677,43,43,19,0,3,0,3
0,0,0,0,2,0,0,0,0,1634,55,55,21,0,3,2,1
12,0,0,0,0,15,1,1,1,973,27,27,4,0,3,0,1
35,0,0,0,2,8,0,0,0,3543,32,32,16,0,3,2,4
16,1,0,0,2,15,0,1,1,1127,23,23,16,0,3,0,1
17,1,0,0,6,15,0,1,1,787,18,18,22,0,0,0,1
0,1,0,0,6,15,0,1,1,2862,22,22,19,0,0,0,4
30,1,0,0,1,0,0,0,0,2182,22,22,22,0,3,2,2
31,1,0,0,1,15,0,1,1,2276,25,25,12,0,3,0,2
30,1,0,0,1,15,0,1,1,3283,21,21,19,0,3,0,4
35,1,0,0,5,15,0,1,1,855,21,21,16,1,0,0,1
0,1,0,0,5,15,0,1,1,520,24,24,19,0,3,0,3
0,0,0,0,3,12,0,0,0,894,27,27,19,1,3,1,1
11,0,1,1,5,8,0,0,0,2137,40,34,17,0,3,3,2
27,1,0,0,6,15,0,1,1,1012,27,27,6,0,3,0,1
12,1,0,0,1,15,0,1,1,1174,20,20,14,0,0,0,1
12,1,1,1,1,7,0,0,0,2087,26,21,22,0,3,2,2
35,1,0,0,0,15,1,1,1,518,22,22,11,0,0,0,3
1,0,0,0,0,15,1,1,1,1410,56,56,18,0,3,0,1
11,1,1,0,6,10,0,0,0,1045,55,18,11,0,3,2,1
8,1,0,0,1,15,0,1,1,420,35,35,2,0,3,0,3
1,1,0,0,1,0,0,0,0,1530,63,63,18,0,3,1,1
22,1,1,1,4,8,0,0,0,927,49,47,18,1,3,2,1
11,0,0,0,0,5,1,0,0,1036,64,64,3,0,3,2,1
9,0,0,0,0,8,1,0,0,3256,28,28,19,0,0,1,4
6,0,0,0,6,7,0,0,0,2843,56,56,22,0,3,1,4
16,0,0,0,1,6,0,0,0,2748,67,67,17,1,3,1,2
19,0,0,0,1,15,0,1,1,811,75,75,20,0,3,0,1
11,0,0,0,1,1,0,0,0,256,42,42,20,0,3,2,3
22,1,0,0,0,15,1,1,1,1475,21,21,18,0,0,0,1
30,1,0,0,0,5,1,0,0,4373,71,71,18,0,3,2,0
11,0,1,1,4,13,0,0,0,2858,57,55,17,1,3,3,4
0,0,1,1,2,12,0,0,0,85,73,68,21,0,3,3,3
0,1,0,0,2,15,0,1,1,947,31,31,18,0,3,0,1
16,1,0,0,1,15,0,1,1,618,21,21,16,0,3,0,3
7,1,0,0,3,15,0,1,1,119,19,19,16,0,3,0,3
11,0,0,0,4,12,0,0,0,3683,75,75,17,0,3,3,4
0,0,0,0,2,8,0,0,0,2499,32,32,19,0,3,2,2
11,0,0,0,0,5,1,0,0,1016,48,48,21,1,3,2,1
11,0,0,0,4,15,0,1,1,1876,65,65,3,1,3,0,2
11,1,0,0,0,7,1,0,0,1108,26,26,14,0,3,1,1
17,0,1,1,1,15,0,1,1,1290,75,65,21,0,3,0,1
21,0,0,0,0,0,1,0,0,1488,54,54,14,0,3,2,1
8,1,0,0,3,0,0,0,0,1842,27,27,12,0,3,2,2
0,0,0,0,0,10,1,0,0,6,75,75,16,0,3,2,3
26,1,0,0,2,7,0,0,0,912,33,33,2,0,0,1,1
0,0,1,1,1,10,0,0,0,2980,75,74,8,0,3,2,4
17,1,0,0,1,15,0,1,1,2200,20,20,21,1,3,0,2
0,0,0,0,0,8,1,0,0,785,75,75,22,0,3,2,1
18,1,0,0,2,13,0,0,0,1901,30,30,18,0,3,2,2
11,0,0,0,4,15,0,1,1,1742,69,69,3,1,3,0,2
11,0,0,0,1,15,0,1,1,4068,23,23,3,1,3,0,4
17,1,1,1,4,15,0,1,1,787,33,32,22,0,3,0,1
11,1,0,0,4,15,0,1,1,1989,26,26,11,0,3,0,2
22,1,0,0,1,15,0,1,1,2476,27,27,21,1,3,0,2
22,1,0,0,1,10,0,0,0,1471,31,31,16,0,3,1,1
11,0,0,0,2,0,0,0,0,2659,68,68,11,0,3,3,2
11,1,1,1,2,0,0,0,0,168,37,35,14,0,3,2,3
31,1,0,0,0,15,1,1,1,3767,21,21,18,0,3,0,4
34,0,0,0,4,11,0,0,0,1883,34,34,1,0,3,2,2
0,0,0,0,1,15,0,1,1,1321,31,31,19,1,3,0,1
11,0,0,0,3,10,0,0,0,4829,29,29,17,0,3,1,0
10,0,0,0,2,15,0,1,1,4632,62,62,1,0,3,0,0
11,1,0,0,0,8,1,0,0,2779,33,33,22,0,3,3,2
11,0,1,1,0,15,1,1,1,187,73,71,22,0,3,0,3
35,1,0,0,3,15,0,1,1,52,21,21,12,1,0,0,3
0,0,0,0,1,11,0,0,0,1944,29,29,22,0,3,1,2
33,0,1,1,0,15,1,1,1,1210,32,25,18,0,3,0,1
22,1,0,0,2,14,0,0,0,1506,30,30,22,0,3,3,1
33,0,0,0,2,15,0,1,1,4433,43,43,21,0,3,0,0
20,0,0,0,0,0,1,0,0,762,58,58,1,0,3,1,3
0,0,1,1,4,5,0,0,0,1154,66,64,7,1,3,2,1
34,1,0,0,1,7,0,0,0,3514,22,22,1,0,3,3,4
11,0,1,1,0,15,1,1,1,1734,38,34,11,0,3,0,2
6,1,0,0,0,0,1,0,0,2515,64,64,17,0,3,1,2
32,1,0,0,4,0,0,0,0,2100,39,39,10,0,3,2,2
22,0,0,0,1,7,0,0,0,2103,66,66,18,0,3,2,2
22,1,0,0,0,15,1,1,1,2079,20,20,22,0,0,0,2
20,1,0,0,0,14,1,0,0,4553,60,60,16,0,3,1,0
33,0,0,0,0,15,1,1,1,2024,24,24,2,1,3,0,2
12,0,0,0,1,15,0,1,1,973,57,57,4,0,3,0,1
11,0,0,0,1,15,0,1,1,3132,41,41,22,0,3,0,4
0,1,0,0,4,7,0,0,0,156,25,25,16,0,3,2,3
0,0,0,0,0,5,1,0,0,244,40,40,21,0,3,2,3
11,1,0,0,0,15,1,1,1,3667,19,19,15,0,3,0,4
0,0,1,1,0,5,1,0,0,2251,62,60,18,0,3,2,2
11,1,1,1,2,1,0,0,0,203,38,36,2,0,3,3,3
22,0,0,0,6,15,0,1,1,1057,45,45,12,1,3,0,1
22,0,1,1,2,14,0,0,0,1691,41,37,21,0,3,2,1
11,0,1,0,0,15,1,1,1,1818,67,48,22,0,3,0,2
12,1,0,0,0,10,1,0,0,132,26,26,15,0,0,2,3
3,0,0,0,3,15,0,1,1,585,62,62,16,0,3,0,3
0,1,0,0,4,15,0,1,1,2509,22,22,21,0,3,0,2
10,1,0,0,0,0,1,0,0,831,43,43,2,0,3,1,1
9,0,0,0,1,15,0,1,1,523,51,51,16,0,3,0,3
11,1,0,0,3,15,0,1,1,521,56,56,17,0,3,0,3
1,1,0,0,2,0,0,0,0,1780,27,27,19,0,3,1,2
1,1,1,1,0,0,1,0,0,1766,41,35,17,0,3,1,2
1,0,0,0,2,15,0,1,1,224,25,25,21,0,3,0,3
11,1,0,0,1,15,0,1,1,3885,64,64,17,0,3,0,4
31,1,0,0,1,15,0,1,1,2788,22,22,13,0,3,0,2
11,1,0,0,2,11,0,0,0,4149,35,35,21,0,3,2,0
18,0,0,0,0,0,1,0,0,2082,69,69,4,0,3,2,2
11,1,0,0,0,15,1,1,1,706,26,26,22,0,1,0,3
11,0,0,0,2,15,0,1,1,2853,48,48,21,0,3,0,4
1,0,0,0,2,15,0,1,1,872,45,45,3,1,3,0,1
11,1,0,0,2,15,0,1,1,1591,59,59,14,1,3,0,1
6,1,0,0,3,9,0,0,0,4199,49,49,16,0,3,1,0
22,0,0,0,0,0,1,0,0,2103,24,24,20,0,3,1,2
0,0,0,0,0,11,1,0,0,1993,67,67,21,0,3,2,2
30,0,0,0,0,13,1,0,0,1370,63,63,21,0,3,2,1
27,0,0,0,3,5,0,0,0,150,38,38,14,0,3,2,3
4,0,0,0,0,15,1,1,1,1532,21,21,4,0,3,0,1
11,1,0,0,3,7,0,0,0,925,25,25,21,1,0,2,1
34,1,0,0,0,11,1,0,0,5314,46,46,1,0,3,2,0
3,0,0,0,2,15,0,1,1,2224,63,63,17,0,3,0,2
0,0,0,0,2,5,0,0,0,843,35,35,22,0,3,1,1
11,0,0,0,2,7,0,0,0,154,39,39,18,1,3,2,3
6,1,1,1,0,10,1,0,0,1680,26,23,15,0,3,1,1
7,0,1,0,1,0,0,0,0,1739,57,19,22,0,3,1,2
0,0,1,1,4,15,0,1,1,1653,75,56,5,0,3,0,1
0,0,0,0,0,9,1,0,0,3588,29,29,18,1,2,2,4
4,0,0,0,0,7,1,0,0,996,59,59,20,0,3,1,1
35,0,0,0,6,9,0,0,0,1152,70,70,4,0,3,2,1
7,1,0,0,0,8,1,0,0,2271,28,28,21,1,3,1,2
16,0,0,0,1,15,0,1,1,3782,49,49,19,0,3,0,4
4,0,0,0,3,11,0,0,0,626,43,43,21,0,3,2,3
0,0,0,0,0,15,1,1,1,534,28,28,22,0,3,0,3
30,0,1,1,3,0,0,0,0,897,59,57,7,0,3,2,1
7,1,1,1,3,15,0,1,1,2009,22,20,5,1,3,0,2
30,1,0,0,1,15,0,1,1,153,18,18,6,0,0,0,3
22,1,0,0,2,0,0,0,0,3815,31,31,16,0,3,2,4
11,0,0,0,4,13,0,0,0,746,38,38,11,0,3,1,3
9,0,0,0,1,7,0,0,0,1178,62,62,19,0,3,1,1
0,0,0,0,0,2,1,0,0,210,39,39,18,1,3,2,3
22,1,0,0,1,12,0,0,0,1315,30,30,18,0,3,2,1
2,0,0,0,1,14,0,0,0,662,67,67,20,0,3,2,3
5,0,0,0,1,9,0,0,0,3127,58,58,9,0,3,2,4
2,0,0,0,2,6,0,0,0,3591,71,71,19,0,3,1,4
22,1,1,0,4,15,0,1,1,955,35,30,12,1,3,0,1
0,0,1,1,0,8,1,0,0,68,43,42,16,0,3,1,3
30,0,0,0,5,10,0,0,0,1953,68,68,21,1,3,2,2
22,0,0,0,0,15,1,1,1,1125,75,75,6,0,3,0,1
11,1,0,0,4,15,0,1,1,832,19,19,22,0,0,0,1
2,1,0,0,0,15,1,1,1,694,26,26,16,0,3,0,3
11,0,0,0,0,10,1,0,0,4046,66,66,14,0,3,2,4
22,1,0,0,1,15,0,1,1,783,21,21,15,0,0,0,1
11,1,0,0,4,9,0,0,0,2242,75,75,21,1,3,2,2
19,0,1,1,4,5,0,0,0,1176,39,38,17,1,3,2,1
14,0,1,1,0,5,1,0,0,472,75,73,18,0,3,2,3
11,0,0,0,2,0,0,0,0,2169,61,61,11,0,3,2,2
0,0,0,0,4,5,0,0,0,3395,75,75,17,1,3,1,4
32,0,0,0,4,9,0,0,0,2385,32,32,21,0,3,2,2
1,1,1,1,0,15,1,1,1,124,63,32,18,0,3,0,3
2,0,1,1,2,15,0,1,1,319,62,52,19,1,3,0,3
22,1,0,0,2,15,0,1,1,2090,29,29,12,0,0,0,2
10,1,0,0,3,8,0,0,0,3476,57,57,22,0,3,1,4
11,0,1,1,1,5,0,0,0,4659,74,49,18,0,3,2,0
35,1,0,0,3,5,0,0,0,1183,44,44,16,0,3,1,1
34,1,0,0,1,15,0,1,1,1042,49,49,18,1,3,0,1
32,0,0,0,2,0,0,0,0,377,53,53,17,0,3,1,3
9,1,0,0,1,15,0,1,1,513,26,26,15,1,3,0,3
0,0,1,1,5,0,0,0,0,2342,65,63,16,0,3,3,2
33,0,1,0,2,7,0,0,0,2503,51,16,21,0,3,2,2
33,1,0,0,2,9,0,0,0,685,30,30,18,0,3,2,3
0,1,0,0,0,15,1,1,1,461,32,32,18,0,3,0,3
35,0,1,1,2,15,0,1,1,1712,67,56,22,1,3,0,1
11,1,1,1,4,15,0,1,1,194,51,49,22,0,3,0,3
0,1,0,0,1,15,0,1,1,2398,67,67,20,0,3,0,2
30,1,0,0,0,15,1,1,1,4429,19,19,15,0,0,0,0
30,1,0,0,1,15,0,1,1,3978,23,23,18,0,3,0,4
33,0,0,0,0,13,1,0,0,1210,30,30,21,1,3,2,1
30,0,0,0,3,8,0,0,0,1798,49,49,12,0,3,2,2
30,1,0,0,1,11,0,0,0,2583,30,30,12,0,3,2,2
7,1,0,0,1,15,0,1,1,1262,22,22,19,1,3,0,1
11,1,0,0,6,15,0,1,1,2982,72,72,14,1,3,0,4
11,1,0,0,3,7,0,0,0,3340,24,24,3,0,0,2,4
26,0,0,0,4,0,0,0,0,2757,49,49,17,1,3,3,2
32,1,0,0,3,15,0,1,1,2994,24,24,9,0,3,0,4
30,0,0,0,3,10,0,0,0,3962,49,49,18,0,3,1,4
0,0,0,0,1,8,0,0,0,1327,75,75,22,0,3,2,1
2,0,0,0,1,8,0,0,0,2340,75,75,22,1,3,2,2
35,1,0,0,3,10,0,0,0,2406,25,25,4,0,1,1,2
31,1,0,0,0,12,1,0,0,514,41,41,20,0,3,1,3
0,1,0,0,3,10,0,0,0,8,67,67,5,0,3,1,3
2,1,1,0,0,15,1,1,1,3372,75,60,19,0,3,0,4
32,1,0,0,1,7,0,0,0,231,22,22,22,0,3,2,3
35,1,0,0,0,5,1,0,0,1358,75,75,16,0,3,2,1
27,0,1,0,0,15,1,1,1,67,21,20,6,0,3,0,3
