ID,Response
50883,0
50884,1
50885,1
50886,0
50887,0
50888,0
50889,1
50890,1
50891,1
50892,1
50893,0
50894,0
50895,1
50896,1
50897,1
50898,0
50899,0
50900,0
50901,0
50902,0
50903,0
50904,1
50905,1
50906,0
50907,0
50908,0
50909,1
50910,1
50911,1
50912,0
50913,0
50914,1
50915,0
50916,0
50917,1
50918,0
50919,0
50920,0
50921,0
50922,0
50923,0
50924,0
50925,1
50926,0
50927,1
50928,1
50929,0
50930,0
50931,0
50932,1
50933,1
50934,0
50935,1
50936,1
50937,1
50938,0
50939,1
50940,0
50941,1
50942,1
50943,0
50944,0
50945,1
50946,1
50947,0
50948,0
50949,0
50950,1
50951,1
50952,1
50953,1
50954,0
50955,0
50956,0
50957,0
50958,0
50959,0
50960,1
50961,0
50962,0
50963,0
50964,1
50965,1
50966,0
50967,1
50968,0
50969,0
50970,0
50971,0
50972,0
50973,0
50974,1
50975,1
50976,1
50977,0
50978,1
50979,0
50980,1
50981,0
50982,0
50983,1
50984,0
50985,0
50986,0
50987,0
50988,1
50989,0
50990,1
50991,1
50992,1
50993,0
50994,0
50995,0
50996,0
50997,0
50998,0
50999,0
51000,0
51001,0
51002,0
51003,1
51004,1
51005,0
51006,1
51007,1
51008,1
51009,0
51010,1
51011,1
51012,0
51013,1
51014,0
51015,0
51016,0
51017,0
51018,1
51019,1
51020,1
51021,1
51022,0
51023,0
51024,0
51025,0
51026,1
51027,0
51028,0
51029,0
51030,0
51031,1
51032,1
51033,0
51034,0
51035,1
51036,1
51037,1
51038,1
51039,1
51040,1
51041,0
51042,0
51043,0
51044,0
51045,1
51046,0
51047,0
51048,0
51049,1
51050,1
51051,1
51052,1
51053,0
51054,0
51055,1
51056,0
51057,0
51058,1
51059,1
51060,1
51061,1
51062,1
51063,0
51064,1
51065,1
51066,1
51067,0
51068,0
51069,1
51070,0
51071,0
51072,0
51073,0
51074,1
51075,0
51076,0
51077,1
51078,0
51079,0
51080,0
51081,0
51082,0
51083,0
51084,0
51085,0
51086,1
51087,0
51088,0
51089,0
51090,1
51091,0
51092,0
51093,0
51094,0
51095,0
51096,0
51097,0
51098,1
51099,1
51100,0
51101,0
51102,0
51103,0
51104,0
51105,1
51106,0
51107,0
51108,0
51109,1
51110,1
51111,0
51112,1
51113,0
51114,0
51115,0
51116,0
51117,0
51118,0
51119,0
51120,1
51121,0
51122,1
51123,1
51124,0
51125,0
51126,1
51127,0
51128,1
51129,0
51130,0
51131,0
51132,1
51133,1
51134,0
51135,1
51136,1
51137,0
51138,0
51139,1
51140,1
51141,1
51142,0
51143,0
51144,0
51145,0
51146,0
51147,1
51148,0
51149,0
51150,0
51151,0
51152,0
51153,1
51154,1
51155,1
51156,0
51157,0
51158,0
51159,0
51160,0
51161,1
51162,1
51163,0
51164,1
51165,1
51166,0
51167,0
51168,0
51169,0
51170,1
51171,0
51172,0
51173,0
51174,1
51175,1
51176,0
51177,1
51178,1
51179,1
51180,1
51181,1
51182,1
51183,0
51184,1
51185,1
51186,1
51187,1
51188,0
51189,0
51190,0
51191,0
51192,1
51193,0
51194,1
51195,0
51196,1
51197,0
51198,1
51199,0
51200,1
51201,1
51202,0
51203,1
51204,0
51205,0
51206,0
51207,0
51208,0
51209,0
51210,0
51211,1
51212,0
51213,0
51214,0
51215,0
51216,0
51217,0
51218,0
51219,0
51220,1
51221,0
51222,0
51223,0
51224,1
51225,1
51226,0
51227,1
51228,0
51229,0
51230,1
51231,1
51232,0
51233,0
51234,0
51235,1
51236,0
51237,1
51238,0
51239,1
51240,0
51241,0
51242,1
51243,0
51244,1
51245,1
51246,1
51247,0
51248,1
51249,0
51250,1
51251,0
51252,0
51253,0
51254,0
51255,0
51256,0
51257,0
51258,0
51259,0
51260,0
51261,1
51262,0
51263,0
51264,1
51265,0
51266,0
51267,0
51268,0
51269,1
51270,0
51271,1
51272,1
51273,1
51274,0
51275,0
51276,0
51277,0
51278,0
51279,1
51280,0
51281,0
51282,1
51283,0
51284,1
51285,0
51286,1
51287,0
51288,1
51289,1
51290,0
51291,0
51292,0
51293,0
51294,1
51295,1
51296,1
51297,0
51298,0
51299,0
51300,0
51301,0
51302,1
51303,0
51304,1
51305,1
51306,1
51307,0
51308,0
51309,1
51310,0
51311,0
51312,1
51313,1
51314,0
51315,0
51316,0
51317,1
51318,1
51319,0
51320,1
51321,0
51322,0
51323,0
51324,0
51325,0
51326,0
51327,0
51328,1
51329,1
51330,0
51331,0
51332,1
51333,1
51334,0
51335,1
51336,0
51337,0
51338,0
51339,0
51340,0
51341,0
51342,1
51343,1
51344,0
51345,0
51346,0
51347,0
51348,0
51349,1
51350,1
51351,0
51352,0
51353,0
51354,0
51355,0
51356,1
51357,1
51358,0
51359,0
51360,0
51361,1
51362,1
51363,0
51364,1
51365,0
51366,0
51367,1
51368,0
51369,0
51370,0
51371,1
51372,1
51373,0
51374,1
51375,0
51376,1
51377,0
51378,1
51379,1
51380,0
51381,0
51382,1
51383,0
51384,1
51385,1
51386,0
51387,0
51388,0
51389,1
51390,1
51391,0
51392,1
51393,0
51394,0
51395,0
51396,0
51397,0
51398,0
51399,1
51400,1
51401,1
51402,0
51403,1
51404,0
51405,1
51406,0
51407,1
51408,0
51409,1
51410,0
51411,1
51412,0
51413,1
51414,0
51415,0
51416,0
51417,0
51418,0
51419,0
51420,0
51421,0
51422,0
51423,0
51424,1
51425,1
51426,0
51427,0
51428,0
51429,1
51430,1
51431,1
51432,0
51433,1
51434,0
51435,0
51436,0
51437,0
51438,0
51439,1
51440,0
51441,0
51442,0
51443,1
51444,1
51445,1
51446,0
51447,1
51448,1
51449,1
51450,1
51451,1
51452,0
51453,1
51454,0
51455,0
51456,0
51457,0
51458,0
51459,0
51460,0
51461,0
51462,1
51463,1
51464,0
51465,1
51466,0
51467,0
51468,0
51469,0
51470,0
51471,0
51472,0
51473,0
51474,0
51475,1
51476,0
51477,0
51478,1
51479,1
51480,0
51481,0
51482,0
51483,0
51484,1
51485,1
51486,0
51487,1
51488,1
51489,1
51490,1
51491,0
51492,1
51493,1
51494,0
51495,0
51496,0
51497,1
51498,0
51499,0
51500,0
51501,0
51502,0
51503,1
51504,1
51505,1
51506,1
51507,1
51508,0
51509,1
51510,0
51511,0
51512,0
51513,0
51514,1
51515,0
51516,1
51517,0
51518,0
51519,0
51520,0
51521,0
51522,1
51523,1
51524,1
51525,0
51526,1
51527,0
51528,1
51529,0
51530,0
51531,0
51532,0
51533,0
51534,0
51535,1
51536,1
51537,1
51538,1
51539,0
51540,0
51541,1
51542,1
51543,1
51544,1
51545,1
51546,0
51547,1
51548,0
51549,1
51550,1
51551,0
51552,0
51553,0
51554,0
51555,1
51556,0
51557,0
51558,1
51559,1
51560,0
51561,0
51562,1
51563,1
51564,0
51565,1
51566,1
51567,0
51568,1
51569,0
51570,0
51571,0
51572,1
51573,0
51574,0
51575,1
51576,0
51577,1
51578,1
51579,0
51580,0
51581,1
51582,1
51583,0
51584,1
51585,1
51586,0
51587,1
51588,1
51589,0
51590,1
