,0
0,0
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,0
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,1
665,0
666,0
667,1
668,1
669,1
670,0
671,0
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,0
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,1
769,1
770,1
771,0
772,0
773,1
774,0
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,0
791,1
792,0
793,0
794,1
795,1
796,1
797,0
798,0
799,0
800,1
801,1
802,1
803,0
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,1
814,0
815,0
816,0
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,0
829,0
830,1
831,1
832,1
833,0
834,1
835,0
836,1
837,1
838,0
839,1
840,1
841,0
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,0
872,0
873,1
874,0
875,0
876,1
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,0
889,0
890,0
891,0
892,1
893,0
894,1
895,1
896,0
897,0
898,1
899,1
900,1
901,0
902,1
903,1
904,0
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,0
913,1
914,0
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,1
934,1
935,0
936,1
937,1
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,0
953,0
954,1
955,1
956,1
957,1
958,1
959,0
960,0
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,1
1038,1
1039,1
1040,0
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,0
1059,1
1060,0
