ID,Response
50883,0
50884,1
50885,0
50886,1
50887,0
50888,0
50889,0
50890,0
50891,0
50892,1
50893,0
50894,0
50895,0
50896,0
50897,0
50898,0
50899,0
50900,1
50901,0
50902,1
50903,0
50904,0
50905,0
50906,0
50907,1
50908,0
50909,0
50910,1
50911,0
50912,0
50913,0
50914,1
50915,1
50916,0
50917,0
50918,1
50919,0
50920,0
50921,1
50922,1
50923,0
50924,1
50925,1
50926,0
50927,1
50928,1
50929,0
50930,1
50931,0
50932,1
50933,0
50934,0
50935,0
50936,1
50937,0
50938,0
50939,1
50940,0
50941,1
50942,1
50943,0
50944,0
50945,1
50946,0
50947,0
50948,0
50949,0
50950,0
50951,0
50952,1
50953,0
50954,1
50955,0
50956,1
50957,1
50958,1
50959,0
50960,0
50961,0
50962,0
50963,1
50964,0
50965,1
50966,0
50967,0
50968,0
50969,1
50970,1
50971,0
50972,0
50973,0
50974,0
50975,0
50976,0
50977,0
50978,0
50979,0
50980,1
50981,0
50982,0
50983,0
50984,1
50985,0
50986,0
50987,0
50988,1
50989,1
50990,0
50991,1
50992,0
50993,0
50994,1
50995,0
50996,1
50997,1
50998,0
50999,0
51000,0
51001,1
51002,1
51003,1
51004,0
51005,1
51006,1
51007,1
51008,1
51009,0
51010,0
51011,1
51012,0
51013,0
51014,0
51015,0
51016,1
51017,0
51018,0
51019,0
51020,0
51021,1
51022,0
51023,0
51024,1
51025,0
51026,1
51027,0
51028,0
51029,0
51030,1
51031,0
51032,0
51033,1
51034,0
51035,0
51036,0
51037,1
51038,0
51039,0
51040,1
51041,1
51042,1
51043,0
51044,0
51045,1
51046,0
51047,0
51048,1
51049,0
51050,1
51051,0
51052,1
51053,1
51054,1
51055,0
51056,1
51057,0
51058,0
51059,0
51060,0
51061,1
51062,1
51063,0
51064,0
51065,1
51066,1
51067,1
51068,1
51069,0
51070,1
51071,1
51072,0
51073,0
51074,1
51075,0
51076,0
51077,1
51078,1
51079,1
51080,1
51081,1
51082,0
51083,0
51084,1
51085,1
51086,0
51087,0
51088,0
51089,1
51090,1
51091,0
51092,1
51093,0
51094,0
51095,0
51096,0
51097,1
51098,1
51099,1
51100,1
51101,0
51102,1
51103,1
51104,0
51105,0
51106,0
51107,0
51108,0
51109,1
51110,0
51111,0
51112,0
51113,0
51114,1
51115,1
51116,1
51117,1
51118,1
51119,0
51120,0
51121,1
51122,1
51123,0
51124,0
51125,0
51126,0
51127,0
51128,0
51129,1
51130,1
51131,1
51132,1
51133,0
51134,0
51135,1
51136,0
51137,1
51138,0
51139,0
51140,0
51141,0
51142,0
51143,0
51144,0
51145,0
51146,1
51147,0
51148,0
51149,1
51150,0
51151,1
51152,0
51153,0
51154,0
51155,1
51156,0
51157,1
51158,0
51159,0
51160,0
51161,1
51162,0
51163,0
51164,1
51165,1
51166,0
51167,0
51168,1
51169,1
51170,1
51171,0
51172,1
51173,0
51174,1
51175,0
51176,0
51177,1
51178,0
51179,1
51180,1
51181,1
51182,1
51183,0
51184,0
51185,1
51186,1
51187,0
51188,1
51189,0
51190,0
51191,1
51192,0
51193,1
51194,0
51195,0
51196,1
51197,0
51198,0
51199,1
51200,0
51201,1
51202,0
51203,1
51204,0
51205,0
51206,1
51207,0
51208,1
51209,1
51210,1
51211,1
51212,0
51213,0
51214,1
51215,0
51216,0
51217,1
51218,1
51219,0
51220,0
51221,0
51222,1
51223,1
51224,0
51225,1
51226,1
51227,1
51228,1
51229,0
51230,1
51231,0
51232,0
51233,0
51234,1
51235,0
51236,1
51237,1
51238,1
51239,0
51240,0
51241,1
51242,1
51243,1
51244,1
51245,1
51246,1
51247,0
51248,0
51249,1
51250,0
51251,0
51252,0
51253,1
51254,1
51255,0
51256,1
51257,0
51258,0
51259,1
51260,0
51261,0
51262,0
51263,0
51264,0
51265,1
51266,0
51267,0
51268,1
51269,1
51270,1
51271,0
51272,0
51273,0
51274,1
51275,0
51276,0
51277,0
51278,0
51279,0
51280,0
51281,1
51282,0
51283,0
51284,0
51285,0
51286,1
51287,0
51288,0
51289,0
51290,1
51291,0
51292,0
51293,0
51294,1
51295,0
51296,1
51297,0
51298,0
51299,0
51300,0
51301,0
51302,0
51303,0
51304,0
51305,0
51306,1
51307,1
51308,0
51309,0
51310,0
51311,0
51312,0
51313,1
51314,0
51315,0
51316,0
51317,1
51318,0
51319,1
51320,1
51321,0
51322,1
51323,1
51324,0
51325,1
51326,0
51327,0
51328,0
51329,1
51330,0
51331,0
51332,0
51333,1
51334,1
51335,0
51336,0
51337,0
51338,0
51339,0
51340,0
51341,0
51342,1
51343,0
51344,0
51345,1
51346,0
51347,1
51348,0
51349,1
51350,1
51351,1
51352,0
51353,0
51354,1
51355,1
51356,1
51357,0
51358,1
51359,1
51360,0
51361,0
51362,0
51363,0
51364,1
51365,1
51366,0
51367,1
51368,0
51369,1
51370,0
51371,1
51372,1
51373,0
51374,0
51375,0
51376,1
51377,1
51378,0
51379,0
51380,0
51381,0
51382,1
51383,1
51384,1
51385,0
51386,0
51387,0
51388,1
51389,0
51390,0
51391,0
51392,1
51393,1
51394,0
51395,1
51396,1
51397,0
51398,1
51399,0
51400,0
51401,1
51402,0
51403,0
51404,1
51405,0
51406,1
51407,1
51408,1
51409,1
51410,0
51411,1
51412,1
51413,0
51414,1
51415,0
51416,0
51417,1
51418,1
51419,0
51420,1
51421,1
51422,0
51423,1
51424,1
51425,0
51426,0
51427,0
51428,1
51429,0
51430,1
51431,0
51432,0
51433,0
51434,1
51435,1
51436,0
51437,0
51438,1
51439,1
51440,0
51441,1
51442,0
51443,0
51444,1
51445,0
51446,1
51447,1
51448,1
51449,1
51450,0
51451,0
51452,0
51453,0
51454,0
51455,1
51456,0
51457,0
51458,0
51459,0
51460,1
51461,1
51462,1
51463,0
51464,0
51465,0
51466,1
51467,1
51468,1
51469,0
51470,0
51471,0
51472,0
51473,0
51474,1
51475,0
51476,0
51477,0
51478,1
51479,0
51480,1
51481,1
51482,1
51483,0
51484,1
51485,1
51486,0
51487,0
51488,0
51489,1
51490,0
51491,1
51492,0
51493,0
51494,0
51495,1
51496,0
51497,0
51498,0
51499,0
51500,1
51501,0
51502,0
51503,1
51504,0
51505,0
51506,1
51507,0
51508,0
51509,1
51510,0
51511,0
51512,0
51513,0
51514,1
51515,0
51516,1
51517,0
51518,1
51519,0
51520,1
51521,1
51522,0
51523,1
51524,0
51525,1
51526,1
51527,0
51528,0
51529,0
51530,0
51531,1
51532,0
51533,0
51534,0
51535,1
51536,1
51537,0
51538,0
51539,1
51540,1
51541,0
51542,1
51543,0
51544,0
51545,0
51546,0
51547,0
51548,0
51549,0
51550,1
51551,0
51552,1
51553,0
51554,0
51555,0
51556,0
51557,1
51558,1
51559,0
51560,1
51561,0
51562,0
51563,1
51564,1
51565,0
51566,0
51567,1
51568,0
51569,1
51570,0
51571,0
51572,0
51573,1
51574,1
51575,0
51576,0
51577,1
51578,1
51579,1
51580,1
51581,0
51582,0
51583,1
51584,1
51585,1
51586,0
51587,0
51588,1
51589,0
51590,0
