iter	Passed	Remaining
0	38	155416
1	70	140752
2	101	134945
3	129	129570
4	157	125748
5	189	126213
6	219	125085
7	249	124424
8	281	124775
9	308	123284
10	339	123171
11	374	124485
12	402	123533
13	430	122533
14	464	123348
15	496	123710
16	523	122610
17	543	120303
18	580	121637
19	615	122480
20	648	122839
21	679	122951
22	711	123042
23	740	122683
24	770	122560
25	803	122787
26	838	123334
27	872	123737
28	904	123845
29	939	124328
30	969	124165
31	995	123482
32	1034	124338
33	1060	123712
34	1089	123385
35	1115	122809
36	1143	122501
37	1166	121652
38	1196	121516
39	1228	121590
40	1249	120683
41	1279	120563
42	1314	120954
43	1346	121106
44	1381	121443
45	1414	121548
46	1446	121632
47	1469	120990
48	1494	120544
49	1523	120341
50	1549	119984
51	1574	119516
52	1601	119298
53	1626	118866
54	1654	118642
55	1684	118661
56	1707	118133
57	1736	117988
58	1765	117926
59	1793	117774
60	1826	117950
61	1857	118012
62	1890	118114
63	1921	118163
64	1951	118165
65	1981	118082
66	2011	118079
67	2037	117786
68	2066	117708
69	2098	117798
70	2125	117627
71	2150	117318
72	2180	117295
73	2208	117168
74	2240	117258
75	2272	117327
76	2299	117136
77	2324	116902
78	2356	116940
79	2381	116708
80	2416	116916
81	2449	117034
82	2473	116736
83	2497	116422
84	2517	115961
85	2544	115802
86	2567	115457
87	2597	115482
88	2644	116197
89	2702	117406
90	2733	117403
91	2768	117614
92	2801	117712
93	2834	117790
94	2874	118137
95	2912	118421
96	2943	118457
97	2996	119291
98	3064	120739
99	3098	120827
100	3129	120815
101	3159	120761
102	3198	121018
103	3241	121430
104	3278	121624
105	3298	121159
106	3326	121022
107	3360	121095
108	3408	121674
109	3455	122195
110	3498	122556
111	3531	122605
112	3562	122559
113	3594	122512
114	3624	122436
115	3649	122184
116	3692	122534
117	3714	122203
118	3753	122427
119	3796	122746
120	3833	122890
121	3861	122756
122	3892	122678
123	3917	122438
124	3946	122356
125	3984	122506
126	4015	122444
127	4043	122328
128	4083	122537
129	4110	122355
130	4138	122215
131	4166	122078
132	4194	121950
133	4221	121787
134	4254	121801
135	4284	121724
136	4308	121498
137	4339	121446
138	4373	121484
139	4428	122097
140	4518	123679
141	4588	124663
142	4651	125456
143	4719	126377
144	4766	126721
145	4811	127012
146	4844	126981
147	4872	126812
148	4898	126603
149	4924	126399
150	4947	126107
151	4974	125933
152	5011	126006
153	5041	125917
154	5066	125691
155	5093	125516
156	5117	125271
157	5149	125227
158	5176	125049
159	5206	124952
160	5228	124671
161	5271	124891
162	5318	125204
163	5395	126201
164	5439	126426
165	5489	126788
166	5554	127495
167	5606	127883
168	5634	127719
169	5675	127863
170	5709	127856
171	5738	127719
172	5767	127587
173	5800	127550
174	5830	127446
175	5858	127292
176	5886	127142
177	5914	126985
178	5939	126786
179	5968	126659
180	5995	126507
181	6028	126468
182	6056	126326
183	6085	126203
184	6115	126109
185	6143	125970
186	6170	125818
187	6197	125656
188	6226	125555
189	6252	125374
190	6278	125216
191	6304	125043
192	6334	124956
193	6359	124769
194	6388	124656
195	6422	124641
196	6449	124500
197	6477	124375
198	6507	124293
199	6538	124223
200	6563	124062
201	6591	123938
202	6609	123618
203	6639	123548
204	6671	123495
205	6700	123408
206	6730	123323
207	6759	123224
208	6793	123226
209	6819	123069
210	6851	123029
211	6882	122981
212	6903	122741
213	6940	122781
214	6966	122648
215	6994	122524
216	7022	122421
217	7066	122594
218	7095	122503
219	7127	122456
220	7155	122362
221	7185	122281
222	7213	122179
223	7246	122148
224	7276	122085
225	7305	122001
226	7340	122001
227	7371	121952
228	7401	121890
229	7430	121801
230	7455	121645
231	7484	121559
232	7516	121514
233	7569	121826
234	7618	122051
235	7662	122203
236	7697	122223
237	7754	122569
238	7787	122551
239	7826	122611
240	7864	122673
241	7894	122586
242	7958	123040
243	8043	123821
244	8126	124558
245	8187	124938
246	8242	125238
247	8311	125744
248	8342	125674
249	8373	125597
250	8403	125523
251	8436	125481
252	8470	125451
253	8501	125374
254	8536	125367
255	8569	125326
256	8599	125245
257	8627	125127
258	8657	125044
259	8688	124977
260	8718	124902
261	8744	124763
262	8774	124684
263	8803	124581
264	8829	124440
265	8860	124383
266	8884	124211
267	8909	124064
268	8942	124036
269	8971	123939
270	8999	123840
271	9036	123853
272	9066	123778
273	9095	123687
274	9125	123613
275	9156	123546
276	9183	123425
277	9213	123352
278	9240	123235
279	9270	123159
280	9296	123033
281	9327	122973
282	9361	122956
283	9396	122945
284	9428	122898
285	9453	122767
286	9484	122698
287	9527	122801
288	9585	123087
289	9636	123283
290	9684	123430
291	9719	123418
292	9747	123319
293	9783	123324
294	9814	123262
295	9842	123168
296	9871	123082
297	9901	123001
298	9928	122899
299	9959	122836
300	9987	122730
301	10013	122621
302	10039	122496
303	10067	122397
304	10098	122337
305	10124	122224
306	10151	122116
307	10180	122038
308	10207	121924
309	10233	121815
310	10264	121754
311	10292	121661
312	10319	121560
313	10346	121459
314	10373	121358
315	10400	121247
316	10427	121144
317	10456	121073
318	10478	120918
319	10505	120811
320	10534	120738
321	10561	120634
322	10585	120505
323	10601	120282
324	10626	120158
325	10653	120064
326	10679	119958
327	10706	119865
328	10731	119741
329	10753	119588
330	10779	119489
331	10805	119385
332	10832	119290
333	10859	119196
334	10887	119109
335	10914	119021
336	10948	119001
337	10970	118859
338	11002	118815
339	11029	118729
340	11059	118673
341	11085	118570
342	11113	118485
343	11140	118399
344	11170	118344
345	11206	118351
346	11239	118317
347	11268	118256
348	11293	118141
349	11316	118010
350	11346	117963
351	11376	117900
352	11406	117840
353	11435	117782
354	11466	117737
355	11495	117662
356	11520	117556
357	11551	117515
358	11580	117455
359	11607	117359
360	11638	117315
361	11668	117261
362	11700	117230
363	11727	117142
364	11758	117102
365	11795	117113
366	11823	117041
367	11855	117007
368	11890	117005
369	11930	117050
370	11972	117108
371	12025	117279
372	12081	117480
373	12137	117676
374	12191	117852
375	12254	118112
376	12294	118152
377	12334	118189
378	12385	118330
379	12424	118358
380	12464	118400
381	12504	118430
382	12540	118426
383	12567	118343
384	12597	118283
385	12633	118278
386	12664	118232
387	12694	118174
388	12725	118123
389	12753	118052
390	12785	118014
